fecha	tiempo	Lab-+X-W	Lab-+Y-W	Lab-+Z-W	Lab--X-W	Lab--Y-W	Lab--Z-W	Lab-Total-W	BOL-+X-W	BOL-+Y-W	BOL-+Z-W	BOL--X-W	BOL--Y-W	BOL--Z-W	BOL-Total-W
2027-10-16 06:16:00.000	0.000	0.784	0.000	0.000	0.000	0.000	0.923	3.415	0.726	0.000	0.000	0.000	0.000	0.854	3.160
2027-10-16 06:16:00.432	0.432	0.784	0.000	0.000	0.000	0.000	0.923	3.415	0.725	0.000	0.000	0.000	0.000	0.854	3.160
2027-10-16 06:16:00.863	0.864	0.784	0.000	0.000	0.000	0.000	0.924	3.414	0.725	0.000	0.000	0.000	0.000	0.855	3.159
2027-10-16 06:16:01.296	1.296	0.783	0.000	0.000	0.000	0.000	0.924	3.414	0.725	0.000	0.000	0.000	0.000	0.855	3.159
2027-10-16 06:16:01.728	1.728	0.783	0.000	0.000	0.000	0.000	0.924	3.414	0.724	0.000	0.000	0.000	0.000	0.855	3.159
2027-10-16 06:16:02.159	2.160	0.782	0.000	0.000	0.000	0.000	0.925	3.414	0.724	0.000	0.000	0.000	0.000	0.856	3.159
2027-10-16 06:16:02.592	2.592	0.782	0.000	0.000	0.000	0.000	0.925	3.414	0.723	0.000	0.000	0.000	0.000	0.856	3.159
2027-10-16 06:16:03.024	3.024	0.781	0.000	0.000	0.000	0.000	0.926	3.414	0.723	0.000	0.000	0.000	0.000	0.856	3.159
2027-10-16 06:16:03.455	3.456	0.781	0.000	0.000	0.000	0.000	0.926	3.414	0.723	0.000	0.000	0.000	0.000	0.857	3.159
2027-10-16 06:16:03.888	3.888	0.780	0.000	0.000	0.000	0.000	0.926	3.414	0.722	0.000	0.000	0.000	0.000	0.857	3.159
2027-10-16 06:16:04.320	4.320	0.780	0.000	0.000	0.000	0.000	0.927	3.413	0.722	0.000	0.000	0.000	0.000	0.857	3.158
2027-10-16 06:16:04.751	4.752	0.780	0.000	0.000	0.000	0.000	0.927	3.413	0.721	0.000	0.000	0.000	0.000	0.858	3.158
2027-10-16 06:16:05.184	5.184	0.779	0.000	0.000	0.000	0.000	0.927	3.413	0.721	0.000	0.000	0.000	0.000	0.858	3.158
2027-10-16 06:16:05.616	5.616	0.779	0.000	0.000	0.000	0.000	0.928	3.413	0.721	0.000	0.000	0.000	0.000	0.858	3.158
2027-10-16 06:16:06.047	6.048	0.778	0.000	0.000	0.000	0.000	0.928	3.413	0.720	0.000	0.000	0.000	0.000	0.859	3.158
2027-10-16 06:16:06.480	6.480	0.778	0.000	0.000	0.000	0.000	0.928	3.413	0.720	0.000	0.000	0.000	0.000	0.859	3.158
2027-10-16 06:16:06.911	6.912	0.777	0.000	0.000	0.000	0.000	0.929	3.413	0.719	0.000	0.000	0.000	0.000	0.859	3.158
2027-10-16 06:16:07.343	7.344	0.777	0.000	0.000	0.000	0.000	0.929	3.412	0.719	0.000	0.000	0.000	0.000	0.860	3.158
2027-10-16 06:16:07.776	7.776	0.777	0.000	0.000	0.000	0.000	0.930	3.412	0.719	0.000	0.000	0.000	0.000	0.860	3.157
2027-10-16 06:16:08.207	8.208	0.776	0.000	0.000	0.000	0.000	0.930	3.412	0.718	0.000	0.000	0.000	0.000	0.860	3.157
2027-10-16 06:16:08.639	8.640	0.776	0.000	0.000	0.000	0.000	0.930	3.412	0.718	0.000	0.000	0.000	0.000	0.861	3.157
